first_name,last_name,email,Remaining Goal Amount
Manfred,Hernandez,mhernandez@live.com,153288
Rufino,Tyson,rtyson@gmail.com,151747
Robin,Boyd,rboyd@yandex.com,98164
Severiano,Harrell,sharrell@outlook.com,88154
Ethann,Biermann,ebiermann@protonmail.com,72323
Said,Johnson,sjohnson@protonmail.com,71872
Lavinia,Heppenheimer,lheppenheimer@live.com,41198
Harold,Nicoli,hnicoli@live.com,40291
Orso,Jund,ojund@gmail.com,8362
Zaira,Carver,zcarver@outlook.com,3768
Arnaldo,Waters,awaters@protonmail.com,3739
Gino,Brady,gbrady@yandex.com,1559
Alexander,Hernandez,ahernandez@yandex.com,1503
Zelda,Dennis,zdennis@protonmail.com,426
